day_of_year,normalized_flow_factor
1,0.947173672082
2,0.868671822422
3,1.49792740536
4,1.01494051012
5,1.33302477592
6,1.08957598305
7,1.98637597317
8,2.65963513314
9,2.13765211727
10,1.89206518483
11,1.82422079769
12,1.8841884116
13,2.38833513366
14,2.30009533228
15,1.81222284353
16,2.21054827459
17,1.86647398067
18,2.20472101338
19,1.69035996655
20,1.91991639144
21,2.04386201577
22,1.84112650226
23,1.67162631882
24,1.77853329726
25,2.04862574642
26,1.86370436983
27,1.62395577704
28,1.58916946488
29,2.00519824844
30,2.4334908688
31,2.38906631092
32,2.15076899421
33,2.21635337891
34,2.212032786
35,1.88355694033
36,1.81354117829
37,2.133597407
38,2.45830658193
39,2.33345252524
40,2.28780933859
41,2.6454214903
42,2.19164845022
43,2.16838371916
44,2.03754730306
45,1.85242651448
46,1.87369712574
47,2.76312995102
48,2.69005653861
49,2.83646924607
50,2.58847829143
51,2.30320837487
52,2.47486885475
53,2.76137955697
54,2.52122106178
55,2.65513728513
56,2.21031562728
57,2.25962577868
58,1.92497924006
59,1.98868028939
60,2.46890865222
61,2.40799937062
62,2.73423737073
63,2.55229609541
64,2.39428425774
65,2.49769044808
66,2.26721451238
67,2.65523699112
68,3.6507237547
69,4.91301266976
70,3.79089929856
71,3.45199863769
72,2.88715312445
73,3.37298717963
74,3.6354687382
75,4.09033854418
76,2.81824520674
77,3.30140935707
78,2.91379678074
79,2.80461872141
80,3.08534647619
81,4.38019493629
82,3.9527885914
83,3.75980210804
84,3.52549303095
85,4.23639674146
86,3.16621911273
87,2.92072080784
88,3.10384747661
89,3.7296687421
90,3.16932107687
91,2.71831764762
92,2.99516794723
93,2.58028024334
94,2.47713993564
95,3.08911314693
96,2.6829774133
97,2.58958613576
98,2.45243500695
99,2.96182183271
100,3.08634353609
101,2.19031903701
102,2.07155812418
103,2.12052484383
104,2.10579051416
105,1.93108346235
106,1.90549225819
107,1.76568230296
108,1.68558515746
109,1.59994879027
110,1.57435758611
111,1.45637216431
112,1.36741226412
113,1.28786904078
114,1.25906508804
115,1.21486209903
116,1.3624269646
117,1.28177589693
118,1.20766111084
119,1.14052574407
120,1.15492772044
121,1.060539383
122,1.0061442261
123,1.01046481901
124,0.965486338959
125,0.992074603027
126,1.03982269392
127,1.08247470086
128,0.936460817352
129,0.903336271701
130,0.910426475452
131,0.842371597882
132,0.81781068895
133,0.865337210971
134,0.791997915917
135,0.729593044462
136,0.965419868299
137,0.966649575512
138,0.936239248485
139,0.766495339299
140,0.787167714612
141,0.896944009881
142,0.820358730923
143,0.724862549146
144,0.656176200305
145,0.619872141409
146,0.683905544039
147,0.649396192967
148,0.665592877162
149,0.600252218215
150,0.534745382619
151,0.624912833138
152,0.511757612643
153,0.534856167052
154,0.599886629585
155,0.570229636706
156,0.55089775304
157,0.480294833497
158,0.426398206543
159,0.427561443096
160,0.452343920895
161,0.461328538462
162,0.505232409503
163,0.468341193109
164,0.911345986251
165,0.925869825498
166,0.585728378968
167,0.472551001587
168,0.410400934329
169,0.446937640535
170,0.400873473038
171,0.385662770302
172,0.349225770086
173,0.308157980545
174,0.266691367043
175,0.258958613576
176,0.24344879287
177,0.242651144948
178,0.235937608271
179,0.210191305899
180,0.209016990902
181,0.204430515351
182,0.183868924472
183,0.166176650423
184,0.182982649003
185,0.157125562197
186,0.14912692609
187,0.139976131873
188,0.131390338268
189,0.137760443201
190,0.141227995973
191,0.122394642258
192,0.114927771433
193,0.113631593559
194,0.120777189528
195,0.110219433004
196,0.101522854965
197,0.0946874554112
198,0.0895913714648
199,0.0881844091579
200,0.0891482337304
201,0.0886607822225
202,0.0882398013747
203,0.0864894073236
204,0.0878631343004
205,0.0811717545101
206,0.078258123906
207,0.0737270405711
208,0.0705586057697
209,0.0673790925249
210,0.0629255582936
211,0.0603553594337
212,0.0601781043399
213,0.0632246762644
214,0.062936636737
215,0.0705918410998
216,0.0631360487175
217,0.061773400184
218,0.062415949899
219,0.09422216079
